1493513476771,cmd
1493513476793,shift-cmd
1493513483937,shift
1493513484710,f
1493513484879,u
1493513485108,n
1493513485322,c
1493513485530,t
1493513485603,i
1493513485658,o
1493513485802,n
1493513485962,space
1493513488714,f
1493513488850,o
1493513489034,o
1493513489306,space
1493513490497,shift
1493513490610,(
1493513490668,)
1493513491569,{
1493513491853,enter
1493513493686,enter
1493513494150,up
1493513504761,cmd
1493513504921,cmd-s
1493513506393,shift
1493513506660,#
1493513605084,shift
1493513605307,#
1493513606802,backspace
1493513607110,backspace
1493513607521,backspace
1493513607849,enter
1493513611464,shift
1493513611738,#
1493513612360,cmd
1493513613552,shift-cmd
1493513621655,backspace
1493513622448,shift
1493513622592,shift
1493513624489,#
1493513624912,shift
1493513625223,shift-cmd
1493513658350,cmd
1493513658406,shift-cmd
